Priority,ICPP22,TOPC24,Fair,minTime,minArea,Topt
FIFO,2196257862573.7454,1660601627228.9087,1613140022736.7825,3713953974726.9766,11181311884154.0,1193227084248.3398,1193227084248.3398,916763173396.4874
procs,2388394336803.953,1716111568805.5693,1689093752910.0676,7388007018758.168,11181311884154.0,1193227084248.3398,1193227084248.3398,916763173396.4874
area,2453680066071.728,1770343273504.8325,1741892594643.8489,8888571627033.58,11181311884154.0,1193227084248.3398,1193227084248.3398,916763173396.4874
length,2501192058326.092,1780390341069.8208,1770450112082.4714,9172617406201.578,11181311884154.0,1193227084248.3398,1193227084248.3398,916763173396.4874
FIFO,2060110113434.4387,1617932822910.9275,1545596087045.892,3418535948153.8228,9616251658436.0,1143001255743.1758,1143001255743.1758,852979470695.2305
procs,2195830773660.2144,1598813739361.6765,1555349044907.9185,6513883213102.346,9616251658436.0,1143001255743.1758,1143001255743.1758,852979470695.2305
area,2343799969320.6157,1731396860329.413,1629541388332.8328,7410783667636.733,9616251658436.0,1143001255743.1758,1143001255743.1758,852979470695.2305
length,2400081341888.395,1755093635700.603,1670406296192.02,7619279300971.866,9616251658436.0,1143001255743.1758,1143001255743.1758,852979470695.2305
FIFO,2056443177316.0334,1554024127545.7632,1499903031213.0613,3315891430460.704,12503114127514.0,1121912252349.6855,1121912252349.6855,934604362037.9491
procs,2199170343247.3564,1591080472462.9033,1558856240142.4253,6686016715400.108,12503114127514.0,1121912252349.6855,1121912252349.6855,934604362037.9491
area,2289286581304.597,1757976724497.81,1724518644130.8003,8705927777303.578,12503114127514.0,1121912252349.6855,1121912252349.6855,934604362037.9491
length,2336699052027.8696,1778597563809.0269,1737998287664.0256,8829624243776.908,12503114127514.0,1121912252349.6855,1121912252349.6855,934604362037.9491
FIFO,2032292606137.817,1586040479060.0725,1593052392413.0527,3439783502425.164,10747748277717.0,1096844333192.002,1096844333192.002,1016148673880.6476
procs,2170479177451.6377,1624874908431.1436,1605990891010.022,7573273138799.207,10747748277717.0,1096844333192.002,1096844333192.002,1016148673880.6476
area,2276456120156.288,1635562990901.6172,1663864330062.4504,8717223722350.434,10747748277717.0,1096844333192.002,1096844333192.002,1016148673880.6476
length,2313066431326.641,1651790754651.9785,1685994269171.7341,9039772338182.783,10747748277717.0,1096844333192.002,1096844333192.002,1016148673880.6476
FIFO,2059379599240.6052,1586629322201.0015,1625881290413.4932,3036560387174.6167,10338407407706.0,1129146456498.2773,1129146456498.2773,789906117650.9917
procs,2181017342111.5151,1637049093039.8074,1643601003931.2952,7122372003853.7705,10338407407706.0,1129146456498.2773,1129146456498.2773,789906117650.9917
area,2326124226829.39,1707263117301.6184,1672035653629.701,7370171455636.946,10338407407706.0,1129146456498.2773,1129146456498.2773,789906117650.9917
length,2375331271430.5454,1733113421263.9363,1679631811497.2986,7656079277703.722,10338407407706.0,1129146456498.2773,1129146456498.2773,789906117650.9917
FIFO,2198598381737.8333,1648299981536.922,1610752648731.3867,3821921049529.814,12505841437087.0,1139972068575.504,1139972068575.504,968978551151.5355
procs,2267909976325.062,1696448750533.5925,1661755614334.998,6540280673905.888,12505841437087.0,1139972068575.504,1139972068575.504,968978551151.5355
area,2418584304593.9434,1775832827483.9707,1751615884347.0415,8787801209332.717,12505841437087.0,1139972068575.504,1139972068575.504,968978551151.5355
length,2460476020905.5127,1799319405797.4963,1781002410356.535,9050954888115.166,12505841437087.0,1139972068575.504,1139972068575.504,968978551151.5355
FIFO,2221625211085.92,1693664492225.3496,1757808589568.092,3722362347181.5586,12389859604802.0,1182340695091.8457,1182340695091.8457,1100658690772.8438
procs,2309446040754.7915,1698432962039.351,1740652900074.3188,6564197070629.082,12389859604802.0,1182340695091.8457,1182340695091.8457,1100658690772.8438
