Priority,ICPP22,TOPC24,Fair,minTime,minArea,Topt
FIFO,1527244542644.6772,1747291196689.9304,1576217125046.9458,2991917289479.965,11198188604657.771,1194586956820.2583,1194586956820.2583,526957863055.65295
procs,1556953604114.2832,1821320311182.6118,1656833142569.6985,5868586644540.67,11198188604657.771,1194586956820.2583,1194586956820.2583,526957863055.65295
area,1663265609615.0999,1890604030348.2556,1692326690506.0383,7940429521116.524,11198188604657.771,1194586956820.2583,1194586956820.2583,526957863055.65295
length,1717135798287.9473,1889431321375.9578,1707622348069.8948,8061563100209.3,11198188604657.771,1194586956820.2583,1194586956820.2583,526957863055.65295
FIFO,1439929383603.003,1611888413952.0686,1439055201204.6907,2908255756736.8516,9632691861641.139,1144206002930.1143,1144206002930.1143,539851759515.16675
procs,1465077512495.5012,1669175219657.7869,1512294238619.397,4719197105398.541,9632691861641.139,1144206002930.1143,1144206002930.1143,539851759515.16675
area,1532422158259.301,1759497785077.2075,1697985659220.1716,7132283029430.214,9632691861641.139,1144206002930.1143,1144206002930.1143,539851759515.16675
length,1546710035564.7268,1764179130530.3848,1700718160510.3552,7263830387766.989,9632691861641.139,1144206002930.1143,1144206002930.1143,539851759515.16675
FIFO,1845827393931.3428,1618106527972.0737,1477274250220.8591,3072791761329.8535,12508306646754.22,1123129478278.0815,1123129478278.0815,701027212131.9463
procs,1845862010535.2158,1707565477910.8086,1569218632654.587,4978842715593.728,12508306646754.22,1123129478278.0815,1123129478278.0815,701027212131.9463
area,1879123091389.246,1785945189762.2617,1633331333543.264,6706325127556.162,12508306646754.22,1123129478278.0815,1123129478278.0815,701027212131.9463
length,1897291539113.9358,1797969059818.8076,1659465491066.4253,6929603473830.046,12508306646754.22,1123129478278.0815,1123129478278.0815,701027212131.9463
FIFO,1631635391283.7695,1588979948924.3105,1437497783691.1848,2879809853465.7505,10751072795761.941,1098012605082.4982,1098012605082.4982,649051617922.568
procs,1752765199325.269,1652072260345.0776,1499112013076.4094,5235603265465.093,10751072795761.941,1098012605082.4982,1098012605082.4982,649051617922.568
area,1899751047208.0676,1709924351730.4783,1600906114099.3547,7030985360220.521,10751072795761.941,1098012605082.4982,1098012605082.4982,649051617922.568
length,1914231916520.9622,1719193857649.1086,1601365673195.447,7106756446774.168,10751072795761.941,1098012605082.4982,1098012605082.4982,649051617922.568
FIFO,1532921734520.654,1645701667388.2827,1517771760118.6128,2890491057261.167,10345857500991.137,1130358153872.6167,1130358153872.6167,600016720581.4052
procs,1540897205253.0752,1689908967908.5056,1560698486867.413,5466052370248.295,10345857500991.137,1130358153872.6167,1130358153872.6167,600016720581.4052
area,1705878351446.8147,1786437005217.0613,1648640472699.3462,6966305427917.931,10345857500991.137,1130358153872.6167,1130358153872.6167,600016720581.4052
length,1708856055174.1921,1799348617838.578,1670083647868.6797,7178439513437.139,10345857500991.137,1130358153872.6167,1130358153872.6167,600016720581.4052
FIFO,1530698804295.7217,1640796369068.5417,1453497821841.7927,2982976116540.668,12524657740473.451,1141216632642.605,1141216632642.605,623861912743.6709
procs,1530664897992.498,1678527921565.1606,1523698498708.5225,4525820782648.023,12524657740473.451,1141216632642.605,1141216632642.605,623861912743.6709
area,1661978558570.3733,1774874983321.0332,1630533915480.8496,7318939762914.304,12524657740473.451,1141216632642.605,1141216632642.605,623861912743.6709
length,1650621124948.185,1788570262419.9795,1646709566479.8538,7450629836994.822,12524657740473.451,1141216632642.605,1141216632642.605,623861912743.6709
FIFO,1722992185700.0364,1690127286022.3447,1493627810801.603,3138663457161.503,12400571978197.316,1183582358586.0464,1183582358586.0464,643383264253.3706
procs,1739809786380.9622,1746585927930.1248,1548225412962.375,4947302493735.198,12400571978197.316,1183582358586.0464,1183582358586.0464,643383264253.3706
area,1843306712684.5593,1804438132086.0857,1676852086826.6455,6987322815212.635,12400571978197.316,1183582358586.0464,1183582358586.0464,643383264253.3706
length,1884508386952.0325,1821385268804.1719,1705284075941.2979,7070479360432.933,12400571978197.316,1183582358586.0464,1183582358586.0464,643383264253.3706
FIFO,1699877904428.3213,1645272107164.7278,1512810347376.3274,2786949811896.4927,11259803967982.977,1106987546306.693,1106987546306.693,592098557703.996
procs,1732076732298.227,1687521111129.5593,1551340011459.158,4484143975043.493,11259803967982.977,1106987546306.693,1106987546306.693,592098557703.996
area,1806658198547.0374,1763387793167.491,1672216926586.8901,6271010838707.382,11259803967982.977,1106987546306.693,1106987546306.693,592098557703.996
length,1805071128202.988,1770530784260.7534,1690842844734.3835,6409277659470.616,11259803967982.977,1106987546306.693,1106987546306.693,592098557703.996
FIFO,1721671090426.1729,1662559356740.5215,1532955834303.5833,3075325286618.5913,11542887359371.232,1141776722113.3713,1141776722113.3713,633139778370.9321
procs,1696586292741.8584,1686354841957.7178,1521751560327.089,4788927018170.278,11542887359371.232,1141776722113.3713,1141776722113.3713,633139778370.9321
area,1859385686372.2188,1864916272322.3208,1831324424603.4778,7374372959627.368,11542887359371.232,1141776722113.3713,1141776722113.3713,633139778370.9321
length,1861057708369.6694,1886354170649.691,1828193286343.1726,7573320034528.021,11542887359371.232,1141776722113.3713,1141776722113.3713,633139778370.9321
FIFO,1473623695780.0457,1663573563565.0173,1498498325723.8142,2908688353582.724,12601671131492.666,1140617694953.6917,1140617694953.6917,648828828967.424
procs,1457905531269.2979,1738623990235.7034,1531369479450.128,5340586551702.766,12601671131492.666,1140617694953.6917,1140617694953.6917,648828828967.424
area,1562662812322.2224,1782207391411.1946,1622667362561.4592,7240418321161.784,12601671131492.666,1140617694953.6917,1140617694953.6917,648828828967.424
length,1560281762249.9011,1807441532949.4126,1647941257381.9336,7350849912298.966,12601671131492.666,1140617694953.6917,1140617694953.6917,648828828967.424
FIFO,1603321066302.6511,1680566373078.0337,1500687757926.736,2855630250480.0874,11611202190750.871,1179443183929.8948,1179443183929.8948,633878979251.5946
procs,1644120629602.4146,1718632966026.0845,1535018756843.3364,4468635962570.573,11611202190750.871,1179443183929.8948,1179443183929.8948,633878979251.5946
area,1773355312199.4834,1812673949609.6235,1664004791062.2092,7148325116617.165,11611202190750.871,1179443183929.8948,1179443183929.8948,633878979251.5946
length,1790400791032.9956,1833273185545.2085,1696112717158.5176,7242366309330.803,11611202190750.871,1179443183929.8948,1179443183929.8948,633878979251.5946
FIFO,1362421399236.6362,1532071128958.7769,1389831160438.202,2836189381603.183,9556404727604.994,1083274223551.3502,1083274223551.3502,432299295118.5875
procs,1403732662310.8508,1597929557633.6858,1490137689077.3726,4387686012973.5244,9556404727604.994,1083274223551.3502,1083274223551.3502,432299295118.5875
area,1495623643458.1858,1695893470494.879,1590892666338.679,6259199274414.789,9556404727604.994,1083274223551.3502,1083274223551.3502,432299295118.5875
length,1510449348412.145,1699340973729.57,1605598303723.5498,6366027130772.364,9556404727604.994,1083274223551.3502,1083274223551.3502,432299295118.5875
FIFO,1623189317898.4934,1687569971468.079,1496196091966.171,2989320991073.0293,11761627781943.605,1177326641844.9922,1177326641844.9922,531816226967.56836
procs,1612895659730.8674,1715154908132.3962,1561349535830.1777,4748845752546.184,11761627781943.605,1177326641844.9922,1177326641844.9922,531816226967.56836
area,1807993396827.9739,1896597890755.3845,1804648901550.9724,6842935568796.395,11761627781943.605,1177326641844.9922,1177326641844.9922,531816226967.56836
