Priority,ICPP22,TOPC24,Fair,minTime,minArea,Topt
FIFO,2426546621321.5264,2426546621321.5264,2426546621321.5264,2918220284334.0054,11181311884154.0,2032144623585.5593,1193227084248.3398,2032144623585.5593
procs,2474742632069.6914,2474742632069.6914,2474742632069.6914,3019918572523.228,11181311884154.0,2032144623585.5593,1193227084248.3398,2032144623585.5593
area,2559257701316.7153,2559257701316.7153,2559257701316.7153,3308107903234.326,11181311884154.0,2032144623585.5593,1193227084248.3398,2032144623585.5593
length,2571212464324.2407,2571212464324.2407,2571212464324.2407,3351562968064.3047,11181311884154.0,2032144623585.5593,1193227084248.3398,2032144623585.5593
FIFO,1309763851314.9836,1309763851314.9836,1309763851314.9836,1489676625842.325,9616251658436.0,1143001255743.1758,1143001255743.1758,684455191403.4762
procs,1361180273613.795,1361180273613.795,1361180273613.795,1652486975204.1123,9616251658436.0,1143001255743.1758,1143001255743.1758,684455191403.4762
area,1450543586468.721,1450543586468.721,1450543586468.721,2126954549630.374,9616251658436.0,1143001255743.1758,1143001255743.1758,684455191403.4762
length,1462348970996.8228,1462348970996.8228,1462348970996.8228,1987552408383.9998,9616251658436.0,1143001255743.1758,1143001255743.1758,684455191403.4762
FIFO,1902380548232.9417,1902380548232.9417,1902380548232.9417,2266796959329.4897,12503114127514.0,1475680722033.4097,1121912252349.6855,1475680722033.4097
procs,1915065979403.4163,1915065979403.4163,1915065979403.4163,2555445827113.51,12503114127514.0,1475680722033.4097,1121912252349.6855,1475680722033.4097
area,1929281321754.1953,1929281321754.1953,1929281321754.1953,2914117256532.8506,12503114127514.0,1475680722033.4097,1121912252349.6855,1475680722033.4097
length,1942295554300.9949,1942295554300.9949,1942295554300.9949,3016517072055.859,12503114127514.0,1475680722033.4097,1121912252349.6855,1475680722033.4097
FIFO,1379228512172.8035,1379228512172.8035,1379228512172.8035,1593206569363.587,10747748277717.0,1096844333192.002,1096844333192.002,781064092194.1102
procs,1439841638203.337,1439841638203.337,1439841638203.337,1914120913753.12,10747748277717.0,1096844333192.002,1096844333192.002,781064092194.1102
area,1559926502388.596,1559926502388.596,1559926502388.596,2090298399866.5154,10747748277717.0,1096844333192.002,1096844333192.002,781064092194.1102
