Density,ICPP22,TOPC24,Fair,minTime,minArea,Topt
0,2146099056204.983,2466030298790.301,2172839928173.897,9490096140865.17,4443501334531.0,1284407434369.1636,1152104799895.5273,1284407434369.1636
0.125,4071316806115.8926,2372390142988.668,2260995681949.563,9450920353127.271,8509970874398.0,1552390184904.4053,1108665572993.3555,1552390184904.4053
0.25,5958301744258.811,4102486366634.826,4276945782203.4326,9557375893545.113,10838495375629.0,3647194959014.7686,1168444618184.75,3647194959014.7686
0.375,6259593925157.325,2929554286015.195,3316577718756.1064,10355179470634.879,10642160215184.0,2225838893117.9575,1125613687737.877,2225838893117.9575
0.5,6106934218150.577,3377850193221.415,3607880058191.5806,11173651546408.3,11703665430326.0,2304962002448.985,1180719812740.2188,2304962002448.985
0.625,7651006230530.024,3513766123442.837,4059809978532.237,10466308557300.078,13110268878832.0,2317523761330.584,1115180249429.5137,2317523761330.584
0.75,7387887448827.385,3614404456379.4126,3978345401398.921,10958021460933.207,11863048205344.0,2976239381198.0684,1097169909682.5742,2976239381198.0684
0.875,8188088543129.993,4106390543374.3105,4523277596947.398,10330587835866.98,13055200030270.0,3053713216946.025,1137675000012.9297,3053713216946.025
1,8876821872747.89,4737086855046.082,5157632807612.985,10565628099515.29,12617431628313.0,3778124084454.056,1155882508422.4316,3778124084454.056
0,1995381838744.8179,2110507359206.9775,1847579839703.5059,9145422227891.508,3901226135390.0,1059659955842.1426,1059659955842.1426,633386467059.1171
0.125,4829404514194.883,2296328473386.633,2427804661202.882,10131688200151.762,8424310741468.0,1490848617752.9785,1113493992746.2305,1490848617752.9785
0.25,5155585637444.14,2600057105213.6704,2870450768686.889,10540211599318.408,9638605409376.0,1677831241283.2207,1108229901986.4395,1677831241283.2207
0.375,6506537514424.462,3409066457273.6094,3770704923632.569,10839919941519.836,13042403447235.0,2273417907536.895,1121693360086.295,2273417907536.895
0.5,6469922695566.612,3154271292921.9214,3542860173824.2344,11886825466832.078,11948377163303.0,2299874889502.395,1163038636650.3867,2299874889502.395
0.625,7652176662787.639,3576568315852.333,4081934539828.5225,11284654935781.816,11493978896979.0,2389245955123.161,1155638668930.4785,2389245955123.161
0.75,6102235661908.163,3389709124664.927,3800143614872.425,10047097995568.725,11345749092427.0,2680589163813.7812,1149131044718.1133,2680589163813.7812
0.875,7109666290188.658,3545945323378.159,3858157123352.464,10549863333624.637,11710154970622.0,2815856639395.8,1179968550597.2754,2815856639395.8
1,8035637979991.392,4382225680225.0225,4695364082698.11,11065551040193.438,13404134635761.0,3345317267545.823,1149901842899.1875,3345317267545.823
0,2232516198207.786,2421347598367.878,2063453055732.9043,9390103828130.682,3416677725807.0,1141044047170.2402,1141044047170.2402,556919677543.5868
0.125,5484068680132.243,2983267794126.2803,3196557646382.78,11074596380400.291,9113346568126.0,1550560442965.7832,1182468573545.1348,1550560442965.7832
0.25,5006121844543.461,2644011184456.8433,2691130904335.283,10049181646035.896,9493297961253.0,1807127659599.8809,1099036724432.8418,1807127659599.8809
0.375,6029261369830.907,2988181577190.7324,3304173368056.487,10396269464551.035,10353086299140.0,1985616429592.541,1124559332410.4375,1985616429592.541
0.5,6240182577357.0625,3019157192848.676,3509177059236.761,11610191022755.42,11488401293520.0,2065261436899.84,1107489702214.3398,2065261436899.84
0.625,6791313467295.177,3339407963657.681,3686362229606.6265,10025972391709.904,11554756636261.0,2306986098808.2334,1123802427631.4941,2306986098808.2334
0.75,6738229058365.198,3269173939141.2896,3532710447008.6313,11713528485203.465,12099127581488.0,1950134428036.143,1150405571257.6426,1950134428036.143
0.875,6784240705755.098,3063920278124.4473,3417985686907.098,10402861265288.041,11380110209119.0,2385783787206.1777,1195495234763.5078,2385783787206.1777
1,6302420576949.213,2918454889355.2383,3267147082035.92,9369233695610.49,10672588926720.0,2171207792875.8162,1100732781426.8418,2171207792875.8162
0,2301009247300.0996,2573733427731.8413,2242486543058.5146,9989070762779.281,4061118514818.0,1174731197104.4668,1174731197104.4668,598269099746.6143
0.125,5462291149904.74,2959107555037.914,3204388437312.974,11334957897870.186,9879147621840.0,1776992492028.084,1112450043165.334,1776992492028.084
0.25,4860947298449.499,2745832345459.2896,2907978530390.2275,11224721817506.008,9875901329676.0,1969169727392.2412,1135126687720.8398,1969169727392.2412
0.375,5775253988534.7295,2908652278055.8843,3076097977729.51,10137694253208.684,11470205881467.0,1927990362403.159,1122149139380.6484,1927990362403.159
0.5,5457826847252.042,3514973244780.495,3771081859176.072,11732480408087.271,10439107212354.0,2884084685184.391,1169922091220.5742,2884084685184.391
0.625,6785359344353.032,3600265556452.994,3858990260963.7134,10687505317671.287,13227370805324.0,2680779470438.2666,1128501195705.879,2680779470438.2666
0.75,7142525663885.93,4618081857083.913,4643069309218.104,10384127875736.64,13204116954681.0,3884874740039.2783,1179733214268.0586,3884874740039.2783
0.875,8751398322855.563,4567641399867.42,4957312733931.501,12390003940351.691,13754187928023.0,3830260274212.0063,1180260512349.4922,3830260274212.0063
1,7416766204853.717,4076548325772.4336,4413100835725.5,10396769042581.512,12429107070905.0,3116488276546.317,1127084968686.1797,3116488276546.317
0,2365769282396.5195,2228380232687.439,1900200390387.9187,9874073733686.572,4191765806158.0,1139987176267.9043,1139987176267.9043,1000143888676.5255
0.125,5489110612309.613,2539539457147.2944,2893477010036.0933,11507984124391.895,8725937628080.0,1269421831709.7314,1128423782109.0566,1269421831709.7314
0.25,6704117858574.407,3200130681362.9976,3554920099670.027,10879934718594.541,10943673422131.0,1897210729355.6875,1106620682195.4102,1897210729355.6875
