n,ICPP22,TOPC24,Fair,minTime,minArea,Topt
500,1477538474861.455,1194369447291.3423,1237837102423.2444,6759385281011.22,5760222361276.0,514888321218.0421,228717937142.0918,514888321218.0421
1000,1858152182125.3408,1597627208297.4182,1599475940783.704,13264611496035.71,7681476163192.0,749291017332.3348,453255102179.0664,749291017332.3348
1500,2842669202164.8438,2269533124387.316,2316376399021.3506,20636459533849.21,7896176401212.0,1270997199607.8845,646226716152.9551,1270997199607.8845
2000,3073752129315.7217,2577764097753.6904,2640258380421.4883,26095220994201.727,10063581833598.0,1173897109598.869,905639283026.6348,1173897109598.869
2500,2694203212373.713,2369483399164.129,2429081539437.5176,32957761401271.605,11181311884154.0,1193227084248.3398,1193227084248.3398,1146443293983.5952
3000,3825455813188.004,3131073344285.709,3191690797496.0386,37258765074830.46,12464674046902.0,1704075071222.9683,1347802845414.1875,1704075071222.9683
3500,4209535049999.207,3574313340935.2734,3680099770057.8994,44820583265422.07,12304534136111.0,1740028422047.5815,1605765894153.4355,1740028422047.5815
4000,4519162756065.3125,3764346232320.716,3833199484406.4854,51270735422117.76,14255697582918.0,1794346528399.463,1794346528399.463,1744456151934.5225
4500,5005425568181.08,4500816906072.709,4718390523628.44,64046783966034.82,14238816542626.0,2142662143487.084,2142662143487.084,2082648534538.4885
5000,4964317493835.73,4281166027101.931,4419579866939.86,67421328901741.61,14136746439702.0,2295117383345.7734,2295117383345.7734,2055492031822.0732
500,1720942502465.3022,1390871547502.6665,1387894106165.501,5895804012396.081,4827699284470.0,630706519014.4274,204459841150.66016,630706519014.4274
1000,2666101745782.636,2248007989513.243,2235630023455.5015,15433693892561.35,9462888148509.0,1030884495076.7605,512223395419.06836,1030884495076.7605
1500,2780197691736.189,2298497959844.5786,2317755244335.6187,20562202105718.812,9326196696586.0,1119000709937.5112,676886236882.0234,1119000709937.5112
2000,2819014163868.2827,2246459797172.459,2319467784048.2505,25075628943762.06,9353933865623.0,1077164789757.7925,927133052492.3379,1077164789757.7925
2500,3310332247833.054,2738912189279.7646,2807863503007.661,34215619722210.31,9616251658436.0,1313560034676.8535,1143001255743.1758,1313560034676.8535
3000,3455012972060.14,2978768308935.2896,2953442151922.6543,40136009038247.93,11455622835505.0,1572978059361.354,1414645766569.043,1572978059361.354
3500,3316953148482.8574,3068741494230.4775,3083538247716.603,47270467138326.7,11269244834863.0,1625686269611.8672,1625686269611.8672,1377359069333.075
4000,4618382233862.29,3883497659189.5596,3877948697705.065,57453938146196.7,15642951626269.0,2059400999930.28,1881111869158.2422,2059400999930.28
